q0,Ar,x/d0,y/d0,,
3.767995866,0.33,0.881896552,2.347413793,,
3.767995866,0.33,0.928448276,2.434482759,,
3.767995866,0.33,0.975,2.528448276,,
3.767995866,0.33,1.027586207,2.627586207,,
3.767995866,0.33,1.062931034,2.720689655,,
3.767995866,0.33,1.120689655,2.825862069,,
3.767995866,0.33,1.173275862,2.895689655,,
3.767995866,0.33,1.214655172,2.995689655,,
3.767995866,0.33,1.273275862,3.082758621,,
3.767995866,0.33,1.325862069,3.152586207,,
3.767995866,0.33,1.389655172,3.252586207,,
3.767995866,0.33,1.459482759,3.339655172,,
3.767995866,0.33,1.512068966,3.415517241,,
3.767995866,0.33,1.576724138,3.503448276,,
3.767995866,0.33,1.640517241,3.573275862,,
3.767995866,0.33,1.722413793,3.637931034,,
3.767995866,0.33,1.792241379,3.725,,
3.767995866,0.33,1.868103448,3.78362069,,
3.767995866,0.33,1.938793103,3.853448276,,
3.767995866,0.33,2.00862069,3.923275862,,
3.767995866,0.33,2.090517241,3.975862069,,
3.767995866,0.33,2.177586207,4.040517241,,
3.767995866,0.33,2.300862069,4.110344828,,
3.767995866,0.33,2.387931034,4.175,,
3.767995866,0.33,2.469827586,4.227586207,,
3.767995866,0.33,2.545689655,4.268103448,,
3.767995866,0.33,2.627586207,4.314655172,,
3.767995866,0.33,2.715517241,4.367241379,,
3.767995866,0.33,2.814655172,4.425862069,,
3.767995866,0.33,2.896551724,4.478448276,,
3.767995866,0.33,2.98362069,4.537068966,,
3.767995866,0.33,3.082758621,4.577586207,,
3.767995866,0.33,3.2,4.636206897,,
3.767995866,0.33,3.299137931,4.688793103,,
3.767995866,0.33,3.398275862,4.735344828,,
3.767995866,0.33,3.503448276,4.781896552,,
3.767995866,0.33,3.596551724,4.828448276,,
3.767995866,0.33,3.695689655,4.869827586,,
3.767995866,0.33,3.795689655,4.91637931,,
3.767995866,0.33,3.906034483,4.956896552,,
3.767995866,0.33,4.011206897,4.998275862,,
3.767995866,0.33,4.110344828,5.044827586,,
